Hostname,Access,AccessHost,Address,Admin,AgentDeployed,AliasNodeName,AppContacts,ApplID,Application,CFGver,CPU_Rev,CPU_Speed,CPU_Type,CPU_bits,CPU_cores,City,Class,Cluster,Comments,Contract,Critical,DAS_Tot,DB,DNS1,DNS2,DNS3,DNSSuffix,Enclosure,Env,ExternalSerial#,FTR_cfg_rev,FWRev,Gateway,Grid,Group,Hardware_ID,ID_Admin,IP,Installed,MASK,Memory,Model#,Monitoring,NetWrk,OS,OSVer,OS_bits,Oracle_Cluster?,PART#,Partitioned,Patch,Platform,Portfolio,REMOTE_CONSOLE,RemoteConsoleType,RemoteHost,RemoteIP,RemotePort,RemoteUser,Root_owner,Root_shared,SAN_EMC,SAN_HDS,SAN_Tot,SAN_VSU,SAN_Vend,SSH,SeOS,ServerAccessMethodType,ServerStatus,Site,Srv_App,Srv_DB,Srv_DR,Srv_Web,State,TEAM,TZ,UPTIME,VID,Vendor,VipsServerSupportLevel,Virtual,VirtualIP,WEB,WebSvr,cfg2html
a7app01,ssh,not_found,180SClinton,NCDC_HPUX,not_found,not_found,#N/A!,not_found,#N/A!,3.75a,_unknown,_unknown,PA-RISC,_unknown,1,Rochester,Prod,_unknown,SS7 Intellegence Server J Caputo 32bit,not_found,not_found,9.2,_unknown,not_found,not_found,not_found,czncorp.com,_unknown,Prod,USM0009L8T,_unknown, LI  A NAME= Inhalt-Disk Firmware Revision   /A  A HREF= #Disk Firmware Revision  title= /opt/cfg2html/plugins/firmware_collect.sh  Disk Firmware Revision /A ,0.0.0.0,rack_08,Legacy,2012293003,QAS,10.160.66.51,11/29/01,not_found,256,D220,not_found,not_found,HP-UX,HPUX_11.00,32bit,not_found,_unknown,not_found,_unknown,UNIX,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,4.5p1_q1.116,_none,not_found,ONLINE,RDC,App_srv,not_found,not_found,not_found,NY,_unknown,_unknown,_unknown,not_found,HP,not_found,Physical,not_found,_unknown,lnxfwi01.northcentralnetworks.com,20120301
a7server,ssh,not_found,180SClinton,NCDC_HPUX,not_found,not_found,#N/A!,not_found,#N/A!,_unknown,_unknown,_unknown,_unknown,_unknown,1,Rochester,Prod,not_found,SS7 Intellegence Server J Caputo 32bit,not_found,not_found,9.1,_unknown,not_found,not_found,not_found,czncorp.com,_unknown,Prod,USM9950JVW,_unknown,_unknown,0.0.0.0,rack_08,Legacy,2008422283,QAS,10.160.66.50,11/29/01,not_found,512,D320,not_found,not_found,HP-UX,HPUX_11.00,32bit,not_found,_unknown,not_found,not_found,UNIX,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,3.1p1,_none,not_found,ONLINE,RDC,App_srv,not_found,not_found,not_found,NY,_unknown,_unknown,_unknown,not_found,HP,not_found,_unknown,not_found,_unknown,lnxfwi01.northcentralnetworks.com,not_found
aavfwp01,ssh,not_found,not_found,NCDC_HPUX,not_found,not_found,Ekamber R Patolla   ekamber.patolla@ncnetwork.net 816-872-7465 nsps03@ftr.comApp Owner - None listed,AAVN,VREPAIR CORE,5.13,not_found,399 MHz,not_found,64,Number of CPUs: 4,not_found,Prod,not_found,not_found,not_found,MC,546.8 Gb,not_found,not_found,not_found,not_found,not_found,not_found,Prod,USE843H8NK,A.07.05.17,1.23.33.0           ,not_found,not_found,Ftr13,not_found,not_found,144.70.110.11,not_found,not_found,24544 MB,BL870C,not_found,Core,HP-UX,HPUX_11.31,64,not_found,AH232A,not_found,,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,3824.8 Gb,not_found,EMC ,5.1p1,v12.53.0.1517,not_found,not_found,FTW,App_srv,not_found,not_found,not_found,not_found,10,EST5EDT,151 days,not_found,HP,not_found,Physical,not_found,/PRE,lnxfwi01.northcentralnetworks.com,20120301
adslnms,none,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,2,not_found,not_found,not_found,not_found,not_found,not_found,36,_unknown,not_found,not_found,not_found,not_found,_unknown,Idle,943H431E,_unknown,_unknown,not_found,not_found,Legacy,80b18421,not_found,10.160.90.104,01/01/99,not_found,1024,E250,not_found,not_found,SunOS,SunOS_6,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_none,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,SUN,not_found,_unknown,not_found,_unknown,lnxfwi01.northcentralnetworks.com,not_found
adxfwp01,ssh,ssh,not_found,NCDC_LINUX,not_found,not_found,MCKENZIE/CALVIN  585-777-6991fab.unix@ncnetwork.net,ADXN,ADAPTERS(I/F BTWEN SSP ORDER&BACK END SYS)VADI&VOL,2.19,not_found,2327 MHz,Intel Xeon,not_found,8,not_found,Prod,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Prod,F816PH1,8.13-8,not_found,not_found,not_found,Ftr13,not_found,not_found,138.83.135.95,not_found,not_found,33264 MB,PowerEdge 2950,not_found,Core,Linux,RH_4_upd_8,32,not_found,not_found,not_found,not_found,not_found,not_found,cxttgp01,DRAC/HTTP,adxfwp01b,159.161.226.236,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,3.9p1  /PRE ,v12.01.01.814,not_found,not_found,FTW,not_found,not_found,not_found,Web_srv,not_found,10,America/New_York ,756 days,not_found,not_found,not_found,Physical,not_found,none,lnxfwi01.northcentralnetworks.com,20120301
adxfwp02,ssh,ssh,not_found,NCDC_LINUX,not_found,not_found,MCKENZIE/CALVIN  585-777-6991fab.unix@ncnetwork.net,ADXN,ADAPTERS(I/F BTWEN SSP ORDER&BACK END SYS)VADI&VOL,2.19,_unknown,2327 MHz,Intel Xeon,_unknown,8,not_found,Prod,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,H816PH1,8.13-8,_unknown,not_found,not_found,Ftr13,not_found,not_found,138.83.135.96,not_found,not_found,33264 MB,PowerEdge 2950,not_found,Core,Linux,RH_4_upd_8,32,not_found,_unknown,not_found,_unknown,not_found,not_found,cxttgp01,DRAC/HTTP,adxfwp02b,159.161.226.237,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,3.9p1  /PRE ,v12.01.01.814,not_found,not_found,FTW,not_found,not_found,not_found,Web_srv,not_found,10,America/New_York ,295 days,not_found,_unknown,not_found,Physical,not_found,iPlanet/6.1sp10,lnxfwi01.northcentralnetworks.com,20120301
adxfwp03,ssh,SSH,not_found,NCDC_LINUX,not_found,not_found,MCKENZIE/CALVIN  585-777-6991fab.unix@ncnetwork.net,ADXN,ADAPTERS(I/F BTWEN SSP ORDER&BACK END SYS)VADI&VOL,2.19,_unknown,2261 MHz,Intel Xeon,_unknown,16,not_found,Prod,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Prod,GC9PVH1,8.13-8,_unknown,not_found,not_found,Ftr13,not_found,not_found,138.83.135.150,not_found,not_found,16624 MB,PowerEdge R710,not_found,Core,Linux,RH_4_upd_8,32,not_found,_unknown,not_found,_unknown,not_found,not_found,CXTTGP01,DRAC/HTTP,adxfwp03b,10.72.24.189,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,3.9p1  /PRE ,v12.01.01.814,not_found,not_found,FTW,not_found,not_found,not_found,Web_srv,not_found,10,America/New_York ,48 days,not_found,_unknown,not_found,Physical,not_found,iPlanet/6.1sp10,lnxfwi01.northcentralnetworks.com,20120301
appdev01,noDNS,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,_unknown,_unknown,1,not_found,not_found,_unknown,not_found,not_found,not_found,_unknown,_unknown,not_found,not_found,not_found,not_found,_unknown,Idle,6024DKY5D350,_unknown,_unknown,not_found,not_found,Legacy,7f0100,not_found,0.0.0.0,04/25/03,not_found,0,DeskPro,not_found,not_found,Linux,RH_3,_unknown,not_found,_unknown,not_found,_unknown,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,not_found,_unknown,_unknown,_none,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_unknown,_unknown,_unknown,not_found,Compaq,not_found,Physical,not_found,_unknown,lnxfwi01.northcentralnetworks.com,not_found
argon,none,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,1,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Idle,048C0E02,not_found,not_found,not_found,not_found,Legacy,80f99c50,not_found,209.74.63.148,04/17/03,not_found,512,NetraT110x,not_found,not_found,SunOS,SunOS_7,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,_none,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,SUN,not_found,not_found,not_found,not_found,lnxfwi01.northcentralnetworks.com,not_found
busropv04,ssh,root,not_found,NCDC_Linux,not_found,not_found,0,BUSF,ESB WebSphere,2.19,not_found,2926 MHz,Intel Xeon,not_found,1,not_found,Prod,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Prod,VMware-42,8.13-8,6.00,not_found,not_found,Legacy,not_found,not_found,10.164.66.186,not_found,not_found,24686 MB,VMware Virtual Platform None,not_found,not_found,Linux,RH_5.5,64,not_found,not_found,not_found,not_found,not_found,not_found,not_found,Vsphere,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,not_found,4.3p2  /PRE ,_none,not_found,not_found,RDC,not_found,not_found,not_found,not_found,not_found,0,America/New_York ,165 days,not_found,VMware ,not_found,Virtual,not_found,/PRE,lnxfwi01.northcentralnetworks.com,20120301
